qid,hallucinated,scorer,score_column,score,threshold,predicted_label,group
10,0,EGH,scores.egh_probe_oof,0.38091202680841507,0.5583101958587429,0,TN
138,0,EGH,scores.egh_probe_oof,0.0037467644499091664,0.5583101958587429,0,TN
140,0,EGH,scores.egh_probe_oof,0.041698070213648734,0.5583101958587429,0,TN
148,0,EGH,scores.egh_probe_oof,0.067371457404083,0.5583101958587429,0,TN
149,0,EGH,scores.egh_probe_oof,0.0030009365065859486,0.5583101958587429,0,TN
150,0,EGH,scores.egh_probe_oof,0.008555073107815262,0.5583101958587429,0,TN
151,0,EGH,scores.egh_probe_oof,0.10577960687662956,0.5583101958587429,0,TN
16,0,EGH,scores.egh_probe_oof,0.5325658665177283,0.5583101958587429,0,TN
164,0,EGH,scores.egh_probe_oof,0.5077974552677523,0.5583101958587429,0,TN
171,0,EGH,scores.egh_probe_oof,8.353450948957722e-06,0.5583101958587429,0,TN
172,0,EGH,scores.egh_probe_oof,0.011218484369831916,0.5583101958587429,0,TN
180,0,EGH,scores.egh_probe_oof,0.0010625384633388309,0.5583101958587429,0,TN
185,0,EGH,scores.egh_probe_oof,0.25131284948748284,0.5583101958587429,0,TN
188,0,EGH,scores.egh_probe_oof,0.0838472438074401,0.5583101958587429,0,TN
191,0,EGH,scores.egh_probe_oof,0.004735751660434587,0.5583101958587429,0,TN
192,0,EGH,scores.egh_probe_oof,0.017576493686638172,0.5583101958587429,0,TN
198,0,EGH,scores.egh_probe_oof,0.06311551443964168,0.5583101958587429,0,TN
199,0,EGH,scores.egh_probe_oof,3.737823546931315e-07,0.5583101958587429,0,TN
200,0,EGH,scores.egh_probe_oof,0.14155079958470726,0.5583101958587429,0,TN
212,0,EGH,scores.egh_probe_oof,0.511294697246593,0.5583101958587429,0,TN
227,0,EGH,scores.egh_probe_oof,0.5570446211023868,0.5583101958587429,0,TN
229,0,EGH,scores.egh_probe_oof,0.012985849136909351,0.5583101958587429,0,TN
232,0,EGH,scores.egh_probe_oof,0.045420775407325746,0.5583101958587429,0,TN
239,0,EGH,scores.egh_probe_oof,0.0003475038517561641,0.5583101958587429,0,TN
241,0,EGH,scores.egh_probe_oof,0.05248778665517017,0.5583101958587429,0,TN
262,0,EGH,scores.egh_probe_oof,0.0004166659090958225,0.5583101958587429,0,TN
263,0,EGH,scores.egh_probe_oof,0.09287874270086582,0.5583101958587429,0,TN
268,0,EGH,scores.egh_probe_oof,0.004660362131732122,0.5583101958587429,0,TN
272,0,EGH,scores.egh_probe_oof,0.10213833674735347,0.5583101958587429,0,TN
277,0,EGH,scores.egh_probe_oof,0.0011198893163808059,0.5583101958587429,0,TN
280,0,EGH,scores.egh_probe_oof,0.006369064197792745,0.5583101958587429,0,TN
290,0,EGH,scores.egh_probe_oof,0.4838301386430484,0.5583101958587429,0,TN
293,0,EGH,scores.egh_probe_oof,0.24876793954227436,0.5583101958587429,0,TN
294,0,EGH,scores.egh_probe_oof,0.267385590435601,0.5583101958587429,0,TN
299,0,EGH,scores.egh_probe_oof,0.07021317410071387,0.5583101958587429,0,TN
31,0,EGH,scores.egh_probe_oof,0.4733189057595081,0.5583101958587429,0,TN
315,0,EGH,scores.egh_probe_oof,0.0042019294006839045,0.5583101958587429,0,TN
316,0,EGH,scores.egh_probe_oof,0.050657572028235065,0.5583101958587429,0,TN
329,0,EGH,scores.egh_probe_oof,0.10585480019126024,0.5583101958587429,0,TN
33,0,EGH,scores.egh_probe_oof,0.39527216279474864,0.5583101958587429,0,TN
365,0,EGH,scores.egh_probe_oof,0.38684435059256145,0.5583101958587429,0,TN
368,0,EGH,scores.egh_probe_oof,0.01478561600922977,0.5583101958587429,0,TN
372,0,EGH,scores.egh_probe_oof,0.3437159737708342,0.5583101958587429,0,TN
386,0,EGH,scores.egh_probe_oof,0.28444542159394265,0.5583101958587429,0,TN
40,0,EGH,scores.egh_probe_oof,0.06611015266157884,0.5583101958587429,0,TN
406,0,EGH,scores.egh_probe_oof,0.003441550846067707,0.5583101958587429,0,TN
42,0,EGH,scores.egh_probe_oof,0.08620072269074949,0.5583101958587429,0,TN
43,0,EGH,scores.egh_probe_oof,0.000315444288523209,0.5583101958587429,0,TN
444,0,EGH,scores.egh_probe_oof,0.16453251447289255,0.5583101958587429,0,TN
45,0,EGH,scores.egh_probe_oof,0.023248093583786173,0.5583101958587429,0,TN
467,0,EGH,scores.egh_probe_oof,0.07298574965553241,0.5583101958587429,0,TN
490,0,EGH,scores.egh_probe_oof,0.0488201248929999,0.5583101958587429,0,TN
493,0,EGH,scores.egh_probe_oof,0.018590137428046886,0.5583101958587429,0,TN
499,0,EGH,scores.egh_probe_oof,0.2743156390442461,0.5583101958587429,0,TN
50,0,EGH,scores.egh_probe_oof,0.01249835743242127,0.5583101958587429,0,TN
501,0,EGH,scores.egh_probe_oof,8.49095199476414e-05,0.5583101958587429,0,TN
504,0,EGH,scores.egh_probe_oof,0.26752549743885295,0.5583101958587429,0,TN
508,0,EGH,scores.egh_probe_oof,0.26264660177602045,0.5583101958587429,0,TN
523,0,EGH,scores.egh_probe_oof,0.0013140446263741712,0.5583101958587429,0,TN
524,0,EGH,scores.egh_probe_oof,4.271227197565601e-05,0.5583101958587429,0,TN
525,0,EGH,scores.egh_probe_oof,0.025826050083701025,0.5583101958587429,0,TN
528,0,EGH,scores.egh_probe_oof,0.0019067378839372074,0.5583101958587429,0,TN
530,0,EGH,scores.egh_probe_oof,0.004387097828303131,0.5583101958587429,0,TN
532,0,EGH,scores.egh_probe_oof,9.151248404142915e-05,0.5583101958587429,0,TN
533,0,EGH,scores.egh_probe_oof,0.04150595665450987,0.5583101958587429,0,TN
538,0,EGH,scores.egh_probe_oof,0.47217044026838484,0.5583101958587429,0,TN
550,0,EGH,scores.egh_probe_oof,0.01222759954956492,0.5583101958587429,0,TN
554,0,EGH,scores.egh_probe_oof,0.0008321246654398486,0.5583101958587429,0,TN
555,0,EGH,scores.egh_probe_oof,0.374060519275226,0.5583101958587429,0,TN
56,0,EGH,scores.egh_probe_oof,0.0004202552640795039,0.5583101958587429,0,TN
569,0,EGH,scores.egh_probe_oof,0.00017597953997138262,0.5583101958587429,0,TN
571,0,EGH,scores.egh_probe_oof,3.358210439351947e-06,0.5583101958587429,0,TN
579,0,EGH,scores.egh_probe_oof,9.558676057663294e-05,0.5583101958587429,0,TN
585,0,EGH,scores.egh_probe_oof,0.5070230441998973,0.5583101958587429,0,TN
608,0,EGH,scores.egh_probe_oof,0.044540725265604944,0.5583101958587429,0,TN
638,0,EGH,scores.egh_probe_oof,0.2355655426402064,0.5583101958587429,0,TN
651,0,EGH,scores.egh_probe_oof,0.0011139944339353383,0.5583101958587429,0,TN
659,0,EGH,scores.egh_probe_oof,3.072033358037723e-06,0.5583101958587429,0,TN
661,0,EGH,scores.egh_probe_oof,0.265793017057308,0.5583101958587429,0,TN
662,0,EGH,scores.egh_probe_oof,0.0009885658357632876,0.5583101958587429,0,TN
664,0,EGH,scores.egh_probe_oof,0.0006913838389013186,0.5583101958587429,0,TN
668,0,EGH,scores.egh_probe_oof,0.000777454919473779,0.5583101958587429,0,TN
673,0,EGH,scores.egh_probe_oof,0.1260095854329497,0.5583101958587429,0,TN
676,0,EGH,scores.egh_probe_oof,0.0175760554405252,0.5583101958587429,0,TN
678,0,EGH,scores.egh_probe_oof,0.24097678651490026,0.5583101958587429,0,TN
698,0,EGH,scores.egh_probe_oof,0.4971419223401188,0.5583101958587429,0,TN
700,0,EGH,scores.egh_probe_oof,0.45141451553704925,0.5583101958587429,0,TN
712,0,EGH,scores.egh_probe_oof,0.09538451740528839,0.5583101958587429,0,TN
724,0,EGH,scores.egh_probe_oof,0.15171118023033825,0.5583101958587429,0,TN
741,0,EGH,scores.egh_probe_oof,0.03864650778578399,0.5583101958587429,0,TN
742,0,EGH,scores.egh_probe_oof,0.26610628783266155,0.5583101958587429,0,TN
748,0,EGH,scores.egh_probe_oof,0.26355022763486097,0.5583101958587429,0,TN
753,0,EGH,scores.egh_probe_oof,0.1430803396432417,0.5583101958587429,0,TN
772,0,EGH,scores.egh_probe_oof,0.38170862159508695,0.5583101958587429,0,TN
78,0,EGH,scores.egh_probe_oof,2.2735266016679362e-05,0.5583101958587429,0,TN
781,0,EGH,scores.egh_probe_oof,0.0054625856511976555,0.5583101958587429,0,TN
787,0,EGH,scores.egh_probe_oof,0.09450668861971707,0.5583101958587429,0,TN
803,0,EGH,scores.egh_probe_oof,0.04130513882262998,0.5583101958587429,0,TN
808,0,EGH,scores.egh_probe_oof,0.00263735473963344,0.5583101958587429,0,TN
85,0,EGH,scores.egh_probe_oof,0.20611056140354703,0.5583101958587429,0,TN
86,0,EGH,scores.egh_probe_oof,0.04172506442110896,0.5583101958587429,0,TN
88,0,EGH,scores.egh_probe_oof,0.0008387362200758552,0.5583101958587429,0,TN
105,1,EGH,scores.egh_probe_oof,0.381072418878389,0.5583101958587429,0,FN
106,1,EGH,scores.egh_probe_oof,0.05975593600537262,0.5583101958587429,0,FN
118,1,EGH,scores.egh_probe_oof,0.3287183967642594,0.5583101958587429,0,FN
119,1,EGH,scores.egh_probe_oof,0.2068027787369524,0.5583101958587429,0,FN
13,1,EGH,scores.egh_probe_oof,0.3960482962251506,0.5583101958587429,0,FN
155,1,EGH,scores.egh_probe_oof,0.14552273637314478,0.5583101958587429,0,FN
162,1,EGH,scores.egh_probe_oof,0.16675315296450366,0.5583101958587429,0,FN
177,1,EGH,scores.egh_probe_oof,0.20080142616683583,0.5583101958587429,0,FN
193,1,EGH,scores.egh_probe_oof,0.15779693577387047,0.5583101958587429,0,FN
221,1,EGH,scores.egh_probe_oof,0.1609996226534515,0.5583101958587429,0,FN
236,1,EGH,scores.egh_probe_oof,0.04591964650077863,0.5583101958587429,0,FN
237,1,EGH,scores.egh_probe_oof,0.0082889895307914,0.5583101958587429,0,FN
251,1,EGH,scores.egh_probe_oof,0.014395478543270923,0.5583101958587429,0,FN
256,1,EGH,scores.egh_probe_oof,0.059096102568876936,0.5583101958587429,0,FN
355,1,EGH,scores.egh_probe_oof,0.41050130577109106,0.5583101958587429,0,FN
369,1,EGH,scores.egh_probe_oof,0.25800617841769274,0.5583101958587429,0,FN
39,1,EGH,scores.egh_probe_oof,0.059351334736781905,0.5583101958587429,0,FN
392,1,EGH,scores.egh_probe_oof,0.24300378541659368,0.5583101958587429,0,FN
396,1,EGH,scores.egh_probe_oof,0.4321708636855875,0.5583101958587429,0,FN
404,1,EGH,scores.egh_probe_oof,0.021388598903646368,0.5583101958587429,0,FN
411,1,EGH,scores.egh_probe_oof,0.1462741950286924,0.5583101958587429,0,FN
428,1,EGH,scores.egh_probe_oof,0.21878563299345444,0.5583101958587429,0,FN
452,1,EGH,scores.egh_probe_oof,0.0003697721920648067,0.5583101958587429,0,FN
458,1,EGH,scores.egh_probe_oof,0.008405294620324986,0.5583101958587429,0,FN
466,1,EGH,scores.egh_probe_oof,0.05954385988537779,0.5583101958587429,0,FN
49,1,EGH,scores.egh_probe_oof,0.3867408005634451,0.5583101958587429,0,FN
507,1,EGH,scores.egh_probe_oof,0.03215350855607876,0.5583101958587429,0,FN
531,1,EGH,scores.egh_probe_oof,0.005094549509466511,0.5583101958587429,0,FN
539,1,EGH,scores.egh_probe_oof,0.010845437292297451,0.5583101958587429,0,FN
