task,model,n_splits,score_key,direction,N,pos_rate,auroc,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,spearman_rho_boot_mean,spearman_ci95_lo,spearman_ci95_hi,manifest_file,results_file,boot_file
medqa,biomistral,3,egh_probe_oof,1.0,1000,0.553,0.5521762523716478,0.5522190104008642,0.5162139802824537,0.5885420585700936,0.08993664261509032,0.02792529216476987,0.15249571214050966,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,5,egh_probe_oof,1.0,1000,0.553,0.5668652984938772,0.5665613367800608,0.5302982309226469,0.6020697557758979,0.11463838764109102,0.052182547296367954,0.17579440349773698,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,10,egh_probe_oof,1.0,1000,0.553,0.5576052526184205,0.5573049277684058,0.5219931146360507,0.592215634873438,0.09869610262392836,0.03787867787575373,0.15882273560840876,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,3,hidden_probe_oof,1.0,1000,0.553,0.5011266591421208,0.5004346379924834,0.4645516017978001,0.5364922266587376,0.0007485757758717846,-0.061052666834045345,0.06285044377780438,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,5,hidden_probe_oof,1.0,1000,0.553,0.5152169779644081,0.514711322823242,0.47903331836515084,0.5505557443434428,0.025337266625731818,-0.036110850523753256,0.08707200833195675,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,10,hidden_probe_oof,-1.0,1000,0.553,0.5013127500596705,0.5018588856390402,0.46616937914406265,0.5383015562864344,0.0032015529562028065,-0.05826637061226112,0.06596665259877742,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,3,lntp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.001311183002063725,-0.060670602761215636,0.06335182091293604,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,5,lntp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.001311183002063725,-0.060670602761215636,0.06335182091293604,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_5\medqa_biomistral_nsplits5.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,10,lntp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.001311183002063725,-0.060670602761215636,0.06335182091293604,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_10\medqa_biomistral_nsplits10.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,3,mtp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.001311183002063725,-0.060670602761215636,0.06335182091293604,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\n_splits\medqa_biomistral\n_3\medqa_biomistral_nsplits3.B5000.manifest.bootstrap_indices.npz
